uid,gene_id,direction,padj,log2FoldChange,source
BM_76,ENSG00000210194,up,0.0084686767518479,1.22205447059755,tnbc140226
BM_77,ENSG00000275092,up,0.0085745901302787,2.75369785332239,tnbc140226
BM_78,ENSG00000013441,up,0.0089361401047037,1.24637009163496,tnbc140226
BM_79,ENSG00000179094,up,0.0100856048459795,1.07833453057223,tnbc140226
BM_80,ENSG00000277075,up,0.0102641574300482,1.09345905151731,tnbc140226
BM_81,ENSG00000008517,up,0.0107620941778299,1.11425315114699,tnbc140226
BM_82,ENSG00000286523,up,0.0110823541962448,4.48880405592807,tnbc140226
BM_83,ENSG00000008118,up,0.0112871854424057,1.25369702216422,tnbc140226
BM_84,ENSG00000203710,up,0.0117191050703466,1.01270598008316,tnbc140226
BM_85,ENSG00000266498,up,0.013501632842256,3.18224430406052,tnbc140226
BM_86,ENSG00000179101,up,0.0138872074031434,1.71866820314858,tnbc140226
BM_87,ENSG00000144891,up,0.0152463646988531,1.01473851944145,tnbc140226
BM_88,ENSG00000278987,up,0.0156689933459305,2.15438364024672,tnbc140226
BM_89,ENSG00000134242,up,0.0166277990519453,1.09866933529947,tnbc140226
BM_90,ENSG00000232611,up,0.0166926788972302,1.30827709547712,tnbc140226
BM_91,ENSG00000243137,up,0.0180320257227352,1.25128366573944,tnbc140226
BM_92,ENSG00000188375,up,0.0185837942358558,1.39718350026222,tnbc140226
BM_93,ENSG00000243130,up,0.0185839893382577,1.86772930670137,tnbc140226
BM_94,ENSG00000160223,up,0.0190695860579593,1.00224869305813,tnbc140226
BM_95,ENSG00000248503,up,0.0190695860579593,1.82896902646313,tnbc140226
BM_96,ENSG00000108381,up,0.0197082394291293,2.54411835814758,tnbc140226
BM_97,ENSG00000223802,up,0.0203416053031837,1.04041143540756,tnbc140226
BM_98,ENSG00000232177,up,0.0209780923040703,1.97496955191762,tnbc140226
BM_99,ENSG00000174469,up,0.0235519406880322,1.28438818264211,tnbc140226
BM_100,ENSG00000140297,up,0.0246246711716914,1.41671475288859,tnbc140226
BM_101,ENSG00000279861,up,0.0248871247166215,1.22747116138848,tnbc140226
BM_102,ENSG00000265190,up,0.0251090296871214,4.12114772529216,tnbc140226
BM_103,ENSG00000213928,up,0.0251090296871214,1.47262840209966,tnbc140226
BM_104,ENSG00000242660,up,0.0251090296871214,1.18190630906932,tnbc140226
BM_105,ENSG00000254887,up,0.0251090296871214,1.35614002617621,tnbc140226
BM_106,ENSG00000229337,up,0.0260918300454436,1.21675645781042,tnbc140226
BM_107,ENSG00000254577,up,0.026615511720102,1.98852625274033,tnbc140226
BM_108,ENSG00000261123,up,0.0283070327029723,1.75639986089303,tnbc140226
BM_109,ENSG00000189120,up,0.0286190488966368,1.07753904717915,tnbc140226
BM_110,ENSG00000236577,up,0.0290005662164906,1.54548319530456,tnbc140226
BM_111,ENSG00000242221,up,0.0301969153886461,2.52244221640639,tnbc140226
BM_112,ENSG00000235408,up,0.0307491430143536,1.3558479217246,tnbc140226
BM_113,ENSG00000248626,up,0.0312891152084033,1.12131348219012,tnbc140226
BM_114,ENSG00000273320,up,0.033320949991542,1.86956248139933,tnbc140226
BM_115,ENSG00000215895,up,0.0334631314899987,1.02463724031651,tnbc140226
BM_116,ENSG00000175471,up,0.0336825005590611,1.06648446949362,tnbc140226
BM_117,ENSG00000163050,up,0.0347641166717033,1.50131541183908,tnbc140226
BM_118,ENSG00000232888,up,0.0379790521777342,1.04180114375681,tnbc140226
BM_119,ENSG00000226243,up,0.0388804123181522,1.10542023506315,tnbc140226
BM_120,ENSG00000112299,up,0.0397342980570281,1.09809223381573,tnbc140226
BM_121,ENSG00000259790,up,0.0402006885460935,1.1667210439016,tnbc140226
BM_122,ENSG00000277117,up,0.0403661022964503,1.00731375670579,tnbc140226
BM_123,ENSG00000232389,up,0.0415707642400317,1.01374720467409,tnbc140226
BM_124,ENSG00000214185,up,0.0429969073571571,1.22037290163009,tnbc140226
BM_125,ENSG00000213782,up,0.0430963693276717,1.59454998889607,tnbc140226
BM_126,ENSG00000224462,up,0.0456513413459678,1.01889575153836,tnbc140226
BM_127,ENSG00000100836,up,0.046797974623146,1.02734011645892,tnbc140226
BM_128,ENSG00000250155,up,0.047133257495761,1.70984025356845,tnbc140226
BM_129,ENSG00000146374,up,0.047182600991551,1.02215389608379,tnbc140226
BM_130,ENSG00000279738,up,0.0489654180717683,1.35264338120883,tnbc140226
BM_131,ENSG00000051523,down,1.30539454938524e-111,-5.22312974367578,tnbc140226
BM_132,ENSG00000123496,down,8.606020117247e-77,-4.70716037594081,tnbc140226
BM_133,ENSG00000115318,down,1.4758895784022798e-55,-3.57767595440771,tnbc140226
BM_134,ENSG00000106991,down,3.9283958916386004e-53,-2.29400575367471,tnbc140226
BM_135,ENSG00000128606,down,6.674824260494249e-49,-4.24954172527652,tnbc140226
BM_136,ENSG00000135269,down,5.25561126031072e-44,-4.55763088335234,tnbc140226
BM_137,ENSG00000162407,down,2.32200216284775e-41,-4.62521701057218,tnbc140226
BM_138,ENSG00000184347,down,1.11781053167641e-39,-2.3065538677126,tnbc140226
BM_139,ENSG00000103485,down,1.24160393218955e-39,-4.62337751996095,tnbc140226
BM_140,ENSG00000169744,down,2.61884927732386e-38,-5.01819466829383,tnbc140226
